Authors,Title,Journal,Year,Host subfamily,Host genus,Host species,Virus subfamily,Virus genus,Virus strain or sequence,Tissue tested?,nSamples,nPositive,Prevalence,Detection type,Study type,Detection method,Detection method specific,Gene/Antigen Target,Sample type,Isolation successful,Country,State or Region,Site,Latitude,Longitude,SamplingYear,SamplingMonth,StartYear,StartMonth,EndYear,EndMonth,Season,Notes
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,2,0,,single,cross-sectional,serology,serum neutralization test,NA,blood,NA,malaysia,perak,sembiran islands,,,2004,may,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,nipah virus,trachea,50,0,,single,cross-sectional,virus isolation,cell culture,NA,swab,0,malaysia,johor,tioman island,2.7902,104.1698,2004,january,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,nipah virus,urine,50,0,,single,cross-sectional,virus isolation,cell culture,NA,swab,0,malaysia,johor,tioman island,2.7902,104.1698,2004,january,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,nipah virus,rectum,50,0,,single,cross-sectional,virus isolation,cell culture,NA,swab,0,malaysia,johor,tioman island,2.7902,104.1698,2004,january,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,nipah virus,trachea,50,0,,single,cross-sectional,virus isolation,cell culture,NA,swab,0,malaysia,johor,tioman island,2.7902,104.1698,2004,april,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,nipah virus,urine,50,0,,single,cross-sectional,virus isolation,cell culture,NA,swab,0,malaysia,johor,tioman island,2.7902,104.1698,2004,april,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,nipah virus,rectum,50,0,,single,cross-sectional,virus isolation,cell culture,NA,swab,0,malaysia,johor,tioman island,2.7902,104.1698,2004,april,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,nipah virus,trachea,2,0,,single,cross-sectional,virus isolation,cell culture,NA,swab,0,malaysia,perak,sembiran islands,,,2004,may,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,nipah virus,urine,2,0,,single,cross-sectional,virus isolation,cell culture,NA,swab,0,malaysia,perak,sembiran islands,,,2004,may,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,hypomelanus,orthoparamyxovirinae,henipavirus,nipah virus,rectum,2,0,,single,cross-sectional,virus isolation,cell culture,NA,swab,0,malaysia,perak,sembiran islands,,,2004,may,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,28,19,,single,cross-sectional,serology,serum neutralization test,NA,blood,NA,malaysia,perak,lenggong,,,2004,june,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,7,4,,single,cross-sectional,serology,serum neutralization test,NA,blood,NA,malaysia,perak,kampong gajyah,,,2004,february,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,6,2,,single,cross-sectional,serology,serum neutralization test,NA,blood,NA,malaysia,perlis,wang kelian,,,2004,march,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,15,10,,single,cross-sectional,serology,serum neutralization test,NA,blood,NA,malaysia,kuala terengganu,kuala berang,,,NA,NA,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,rousettinae,eonycteris,spelaea,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,98,0,,single,cross-sectional,serology,serum neutralization test,NA,blood,NA,malaysia,perak,"ulu piah, ipoh",,,NA,NA,NA,NA,NA,NA,NA,n=98 includes cynopterus brachyotis (species sample sizes not specified)
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,cynopterinae,cynopterus,brachyotis,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,98,0,,single,cross-sectional,serology,serum neutralization test,NA,blood,NA,malaysia,perak,"ulu piah, ipoh",,,NA,NA,NA,NA,NA,NA,NA,n=98 includes eonycteris spelaea (species sample sizes not specified)
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,rousettinae,eonycteris,spelaea,orthoparamyxovirinae,henipavirus,nipah virus,liver,98,0,,single,cross-sectional,virus isolation,cell culture,NA,tissue,0,malaysia,perak,"ulu piah, ipoh",,,NA,NA,NA,NA,NA,NA,NA,n=98 includes cynopterus brachyotis (species sample sizes not specified)
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,cynopterinae,cynopterus,brachyotis,orthoparamyxovirinae,henipavirus,nipah virus,liver,98,0,,single,cross-sectional,virus isolation,cell culture,NA,tissue,0,malaysia,perak,"ulu piah, ipoh",,,NA,NA,NA,NA,NA,NA,NA,n=98 includes eonycteris spelaea (species sample sizes not specified)
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,rousettinae,eonycteris,spelaea,orthoparamyxovirinae,henipavirus,nipah virus,kidney,98,0,,single,cross-sectional,virus isolation,cell culture,NA,tissue,0,malaysia,perak,"ulu piah, ipoh",,,NA,NA,NA,NA,NA,NA,NA,n=98 includes cynopterus brachyotis (species sample sizes not specified)
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,cynopterinae,cynopterus,brachyotis,orthoparamyxovirinae,henipavirus,nipah virus,kidney,98,0,,single,cross-sectional,virus isolation,cell culture,NA,tissue,0,malaysia,perak,"ulu piah, ipoh",,,NA,NA,NA,NA,NA,NA,NA,n=98 includes eonycteris spelaea (species sample sizes not specified)
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,rousettinae,eonycteris,spelaea,orthoparamyxovirinae,henipavirus,nipah virus,lung,98,0,,single,cross-sectional,virus isolation,cell culture,NA,tissue,0,malaysia,perak,"ulu piah, ipoh",,,NA,NA,NA,NA,NA,NA,NA,n=98 includes cynopterus brachyotis (species sample sizes not specified)
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,cynopterinae,cynopterus,brachyotis,orthoparamyxovirinae,henipavirus,nipah virus,lung,98,0,,single,cross-sectional,virus isolation,cell culture,NA,tissue,0,malaysia,perak,"ulu piah, ipoh",,,NA,NA,NA,NA,NA,NA,NA,n=98 includes eonycteris spelaea (species sample sizes not specified)
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,trachea,28,1,,single,cross-sectional,PCR,RT-PCR,N,swab,NA,malaysia,perak,lenggong,,,2004,june,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,urine,28,0,,single,cross-sectional,PCR,RT-PCR,N,swab,NA,malaysia,perak,lenggong,,,2004,june,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,rectum,28,0,,single,cross-sectional,PCR,RT-PCR,N,swab,NA,malaysia,perak,lenggong,,,2004,june,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,lung,6,0,,single,cross-sectional,virus isolation,cell culture and RT-PCR,NA,tissue,0,malaysia,perlis,wang kelian,,,2004,march,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,liver,6,0,,single,cross-sectional,virus isolation,cell culture and RT-PCR,NA,tissue,0,malaysia,perlis,wang kelian,,,2004,march,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,kidney,6,0,,single,cross-sectional,virus isolation,cell culture and RT-PCR,NA,tissue,0,malaysia,perlis,wang kelian,,,2004,march,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,spleen,6,0,,single,cross-sectional,virus isolation,cell culture and RT-PCR,NA,tissue,0,malaysia,perlis,wang kelian,,,2004,march,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,intestine,6,0,,single,cross-sectional,virus isolation,cell culture and RT-PCR,NA,tissue,0,malaysia,perlis,wang kelian,,,2004,march,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,tonsil,6,0,,single,cross-sectional,virus isolation,cell culture and RT-PCR,NA,tissue,0,malaysia,perlis,wang kelian,,,2004,march,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,salivary gland,6,0,,single,cross-sectional,virus isolation,cell culture and RT-PCR,NA,tissue,0,malaysia,perlis,wang kelian,,,2004,march,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,trachea,6,0,,single,cross-sectional,virus isolation,cell culture and RT-PCR,NA,swab,0,malaysia,perlis,wang kelian,,,2004,march,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,rectum,6,0,,single,cross-sectional,virus isolation,cell culture and RT-PCR,NA,swab,0,malaysia,perlis,wang kelian,,,2004,march,NA,NA,NA,NA,NA,
"Shirai, J; Sohayati, AL; Mohamed Ali, AL; Suriani, MN; Taniguchi, T; Sharifah, SH",Nipah virus survey of flying foxes in Malaysia,japan agricultural research quarterly,2007,pteropodinae,pteropus,vampyrus,orthoparamyxovirinae,henipavirus,nipah virus,urine,6,0,,single,cross-sectional,virus isolation,cell culture and RT-PCR,NA,swab,0,malaysia,perlis,wang kelian,,,2004,march,NA,NA,NA,NA,NA,
"Wacharapluesadee, S; Ngamprasertwong, T; Kaewpom, T; Kattong, P; Rodpan, A; Wanghongsa, S; Hemachudha, T",Genetic characterization of Nipah virus from Thai fruit bats (Pteropus lylei),asian biomedicine,2013,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,NA,2,,single,cross-sectional,PCR,RT-PCR,N,blood,NA,thailand,chonburi,wat luang,,,2004,february,NA,NA,NA,NA,NA,
"Wacharapluesadee, S; Ngamprasertwong, T; Kaewpom, T; Kattong, P; Rodpan, A; Wanghongsa, S; Hemachudha, T",Genetic characterization of Nipah virus from Thai fruit bats (Pteropus lylei),asian biomedicine,2013,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,saliva,NA,1,,pooled,cross-sectional,PCR,RT-PCR,N,saliva,NA,thailand,chonburi,wat luang,,,2004,february,NA,NA,NA,NA,NA,
"Wacharapluesadee, S; Ngamprasertwong, T; Kaewpom, T; Kattong, P; Rodpan, A; Wanghongsa, S; Hemachudha, T",Genetic characterization of Nipah virus from Thai fruit bats (Pteropus lylei),asian biomedicine,2013,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,NA,1,,pooled,cross-sectional,PCR,RT-PCR,N,urine,NA,thailand,chachoengsao,wat pho,,,2003,january,NA,NA,NA,NA,NA,samples pooled before testing
"Wacharapluesadee, S; Ngamprasertwong, T; Kaewpom, T; Kattong, P; Rodpan, A; Wanghongsa, S; Hemachudha, T",Genetic characterization of Nipah virus from Thai fruit bats (Pteropus lylei),asian biomedicine,2013,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,NA,1,,pooled,cross-sectional,PCR,RT-PCR,N,urine,NA,thailand,bangkok,nongjok,,,2003,september,NA,NA,NA,NA,NA,samples pooled before testing
"Wacharapluesadee, S; Ngamprasertwong, T; Kaewpom, T; Kattong, P; Rodpan, A; Wanghongsa, S; Hemachudha, T",Genetic characterization of Nipah virus from Thai fruit bats (Pteropus lylei),asian biomedicine,2013,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,NA,4,,pooled,cross-sectional,PCR,RT-PCR,N,urine,NA,thailand,chonburi,wat luang,,,2004,february,NA,NA,NA,NA,NA,samples pooled before testing
"Wacharapluesadee, S; Ngamprasertwong, T; Kaewpom, T; Kattong, P; Rodpan, A; Wanghongsa, S; Hemachudha, T",Genetic characterization of Nipah virus from Thai fruit bats (Pteropus lylei),asian biomedicine,2013,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,NA,4,,pooled,cross-sectional,PCR,RT-PCR,N,urine,NA,thailand,chonburi,wat luang,,,2008,april,NA,NA,NA,NA,NA,
"Wacharapluesadee, S; Ngamprasertwong, T; Kaewpom, T; Kattong, P; Rodpan, A; Wanghongsa, S; Hemachudha, T",Genetic characterization of Nipah virus from Thai fruit bats (Pteropus lylei),asian biomedicine,2013,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,urine,NA,2,,pooled,cross-sectional,PCR,RT-PCR,N,urine,NA,thailand,chonburi,wat luang,,,2008,may,NA,NA,NA,NA,NA,
"Olson, JG; Rupprecht, C; Rollin, PE; An, US; Niezgoda, M; Clemins, T; Walston, J; Ksiazek, TG","Antibodies to Nipah-like virus in bats (Pteropus lylei), Cambodia",emerging infectious diseases,2002,pteropodinae,pteropus,lylei,orthoparamyxovirinae,henipavirus,nipah virus,blood or serum,96,11,,single,cross-sectional,serology,"enzyme immunoassay, neutralization assay",NA,blood,NA,cambodia,kampong cham,NA,,,NA,NA,NA,NA,NA,NA,NA,sera also screened against HeV by neutralization test with equivalent results
"Gibson, L; Ribas, MP; Kemp, J; Restif, O; Suu-Ire, RD; Wood, JLN; Cunningham, AA",Persistence of Multiple Paramyxoviruses in a Closed Captive Colony of Fruit Bats (Eidolon helvum),viruses,2021,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,Z15-U17P,urine,128,1,,pooled,longitudinal,PCR,hemi-nested RT-PCR,L (PAR),urine,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2015,NA,NA,april,NA,july,NA,23 sampling points
"Gibson, L; Ribas, MP; Kemp, J; Restif, O; Suu-Ire, RD; Wood, JLN; Cunningham, AA",Persistence of Multiple Paramyxoviruses in a Closed Captive Colony of Fruit Bats (Eidolon helvum),viruses,2021,eidolinae,eidolon,helvum,NA,NA,Z15-U27P,urine,128,15,,pooled,longitudinal,PCR,hemi-nested RT-PCR,L (PAR),urine,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2015,NA,NA,april,NA,july,NA,23 sampling points
"Gibson, L; Ribas, MP; Kemp, J; Restif, O; Suu-Ire, RD; Wood, JLN; Cunningham, AA",Persistence of Multiple Paramyxoviruses in a Closed Captive Colony of Fruit Bats (Eidolon helvum),viruses,2021,eidolinae,eidolon,helvum,rubulavirinae,NA,Z15-U111P,urine,128,1,,pooled,longitudinal,PCR,hemi-nested RT-PCR,L (PAR),urine,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2015,NA,NA,april,NA,july,NA,23 sampling points
"Gibson, L; Ribas, MP; Kemp, J; Restif, O; Suu-Ire, RD; Wood, JLN; Cunningham, AA",Persistence of Multiple Paramyxoviruses in a Closed Captive Colony of Fruit Bats (Eidolon helvum),viruses,2021,eidolinae,eidolon,helvum,NA,NA,Z15-12R,urine,128,31,,pooled,longitudinal,PCR,hemi-nested RT-PCR,L (RMH),urine,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2015,NA,NA,april,NA,july,NA,23 sampling points
"Gibson, L; Ribas, MP; Kemp, J; Restif, O; Suu-Ire, RD; Wood, JLN; Cunningham, AA",Persistence of Multiple Paramyxoviruses in a Closed Captive Colony of Fruit Bats (Eidolon helvum),viruses,2021,eidolinae,eidolon,helvum,orthoparamyxovirinae,henipavirus,Z15-U17R,urine,128,3,,pooled,longitudinal,PCR,hemi-nested RT-PCR,L (RMH),urine,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2015,NA,NA,april,NA,july,NA,23 sampling points
"Gibson, L; Ribas, MP; Kemp, J; Restif, O; Suu-Ire, RD; Wood, JLN; Cunningham, AA",Persistence of Multiple Paramyxoviruses in a Closed Captive Colony of Fruit Bats (Eidolon helvum),viruses,2021,eidolinae,eidolon,helvum,NA,NA,Z15-U27R,urine,128,11,,pooled,longitudinal,PCR,hemi-nested RT-PCR,L (RMH),urine,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2015,NA,NA,april,NA,july,NA,23 sampling points
"Gibson, L; Ribas, MP; Kemp, J; Restif, O; Suu-Ire, RD; Wood, JLN; Cunningham, AA",Persistence of Multiple Paramyxoviruses in a Closed Captive Colony of Fruit Bats (Eidolon helvum),viruses,2021,eidolinae,eidolon,helvum,NA,NA,Z15-U78R,urine,128,13,,pooled,longitudinal,PCR,hemi-nested RT-PCR,L (RMH),urine,NA,ghana,accra,captive colony at accra zoo,5.625303,-0.203029,2015,NA,NA,april,NA,july,NA,23 sampling points
